"place_id","name","description","is_spending_on_ads","reviews","rating","competitors","website","phone","can_claim","owner_name","owner_profile_link","featured_image","main_category","categories","workday_timing","is_temporarily_closed","closed_on","address","review_keywords","link","query","latitude","longitude"
"ChIJGR8daRurNTERiP2FRKSdIgM","Hoang's Restaurant - Vietnamese Restaurant & Vegan Food","Hoang's Restaurant - Vietnamese Restaurant & Vegan Food located in heart of oldquater in walking street and night market. so it's easier for customers after eating luch or dinner to walk around walking street or visit night market . We are large restaurant with 3 floors where can accommodate up to 200 people at the same time. We serve 100% Vietnamese Cuisine & Vegetarian food. We are not stop there we will bring Vietnamse food around the world. We also organise cooking class everyday. #cookingclass #vietnamesecuisine #bestplacetoeat #bestvietnameserestaurant #Vietnameserestaurantinoldquarter #Bestrestaurantinhanoi","","28835","4.9","Name: Hong Hoai's Restaurant Link: No Link Reviews: 21189 reviews Name: Tung's Kitchen Link: No Link Reviews: 16319 reviews Name: Hanoi Food Culture Restaurant & Cooking Class Link: No Link Reviews: 4480 reviews Name: Madam Tran Restaurant - Vietnamese Restaurant & Vegan Foods Link: No Link Reviews: 2793 reviews Name: Era Restaurant Link: No Link Reviews: 2324 reviews","https://hoangsrestaurant.com/","+84 949 814 805","","Hoang's Restaurant - Vietnamese Restaurant & Vegan Food (Owner)","https://www.google.com/maps/contrib/100456562484509651996","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerVkvrnTJmPFFZLwQv7RwYlIr7qjbU8kTvuT8Pq0Fm-4TRLu7RD8d4oMdpGl0rVVEzGEnnM4chmkVanew5ae9qvf1ri3vXxsj3hoQ_PNFBQDLg2HQk3uIvOVUXtrLZA7m83DrLG=w1920-h1080-k-no","Vietnamese restaurant","Vietnamese restaurant, Restaurant, Vegan restaurant, Vegetarian restaurant","10 AM-11 PM","","Open All Days","54 P. Hang Buom, Hang Buom, Hoan Kiem, Ha Noi 100000, Vietnam","sim, cherry, egg coffee, betel leaf, teaching, bong, lisa, windy, betal, medical representative","https://www.google.com/maps/place/Hoang's+Restaurant+-+Vietnamese+Restaurant+%26+Vegan+Food/data=!4m7!3m6!1s0x3135ab1b691d1f19:0x3229da44485fd88!8m2!3d21.0358922!4d105.8515351!16s%2Fg%2F11gk3w5cc3!19sChIJGR8daRurNTERiP2FRKSdIgM?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.0358922","105.8515351"
"ChIJhTP76EmrNTEROXzNX7wJjOw","MET Vietnamese restaurant & Vegetarian Food 1","Welcome to Met Vietnamese restaurant ( Authentic Vietnamese Cuisine) Dear valuable customers . Vietnam has a very distinct and sophisticated food culture. Every area has its own distinctive qualities. We are without a doubt the perfect place for you to visit if you want to sample and learn about Vietnamese cuisine. For you to have the best options, our menu offers authentic Vietnamese cuisine that harmoniously blend flavors from the north, center, and south as well as a vegan menu. Met Vietnamese restaurant & vegetarian food #bestvietnamesefood #vegetarianfood#bestbanhxeoinhanoi met restaurant","","27764","4.9","Name: Hoang's Restaurant - Vietnamese Restaurant & Vegan Food Link: No Link Reviews: 28835 reviews Name: MET Vietnamese Restaurant & Vegetarian Met 2 Link: No Link Reviews: 25138 reviews Name: MET Vietnamese restaurant & Vegetarian Met 4 Link: No Link Reviews: 18576 reviews Name: Tung's Kitchen Link: No Link Reviews: 16319 reviews Name: VIET Restaurant Hanoi & Rooftop Bar Link: No Link Reviews: 2760 reviews","https://metvietnameserestaurant.com/","+84 985 627 976","","MET Vietnamese restaurant & Vegetarian Food 1 (Owner)","https://www.google.com/maps/contrib/104206812581147170341","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerp7Xyz2AlScGkxII8svzBSf04OUEr6azsjO6jYIbHHuccgo7fSwAqSLx3wDH0NrzoLyr71cX9-5_fcv3eD-RynByqqIvcyKk9gvgpKhwNl0xrEQ-if77ayoRyzijUcGzheptM=w1920-h1080-k-no","Vietnamese restaurant","Vietnamese restaurant, Restaurant, Vegan restaurant","10 AM-10:30 PM","","Open All Days","29 P. Hang Trong, Hang Trong, Hoan Kiem, Ha Noi 11000, Vietnam","team, LEO, teaching, grilled fish, black sticky rice, green bean cake, mead, duck with pineapple, bamboo beef, medical representative","https://www.google.com/maps/place/M%E1%BA%B8T+Vietnamese+restaurant+%26+Vegetarian+Food+1/data=!4m7!3m6!1s0x3135ab49e8fb3385:0xec8c09bc5fcd7c39!8m2!3d21.030751!4d105.8495942!16s%2Fg%2F11h0t6ky9k!19sChIJhTP76EmrNTEROXzNX7wJjOw?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.030751","105.8495942"
"ChIJmwwMhZWrNTERtcmFufGuao8","Pizza 4P's Bao Khanh","Nha hang Pizza 4P's, an Earth-to-People pizzeria with a vision to ""Make the World Smile for Peace, one pizza at a time"", was founded in 2011. 4P's - short for ""For Peace"" - offers Italian-Japanese fusion cuisine. Known for its Neapolitan-style artisan pizzas, signature crab pasta, organic ingredients, and house-made cheeses like Burrata, Mozzarella, and more, it's a must-visit restaurant for food lovers.  Located in the heart of Hanoi, Pizza 4P's Bao Khanh is just steps from top attractions such as Hoan Kiem Lake, Hanoi Old Quarter, Train Street, Thang Long Water Puppet Theater, and Hoa Lo Prison.  Book a table at Pizza 4P's Bao Khanh now for an unforgettable dining experience, where authentic taste and tradition come together!","","26325","4.9","Name: Pizza Lovers Link: No Link Reviews: 2547 reviews Name: Pizza Belga Hang Be Link: No Link Reviews: 1803 reviews Name: Best4U Pizza Link: No Link Reviews: 857 reviews Name: Napolis Pizza Old Quarter Link: No Link Reviews: 302 reviews","https://pizza4ps.com/","+84 1900 6043","","Pizza 4P's Bao Khanh (Owner)","https://www.google.com/maps/contrib/105459299181555165851","https://lh3.googleusercontent.com/gps-cs-s/AHVAweo2SZ_pY1OzrnkawktQBHTN7qrQmIBciqXe923GlEK2_LC5ztuBovWpsyIv3FmO_fJP6Cdu42HMDFpDRUeyj-BvTdqfCdwS0YKlqvk1jvnPKjFt5s2STqowQAgiY9Au8GcyjVnP=w1920-h1080-k-no","Pizza restaurant","Pizza restaurant, Family restaurant, Fine dining restaurant, Fusion restaurant, Japanese restaurant, Organic restaurant, Pizza Takeout","10:30 AM-11 PM","","Open All Days","11B P. Bao Khanh, Alley, Hoan Kiem, Ha Noi 100000, Vietnam","crab pasta, miso salmon, burrata cheese, parma ham pizza, burrata parma ham, garlic beef, teriyaki chicken, squid ink risotto, tomato spaghetti, basil pasta","https://www.google.com/maps/place/Pizza+4P%E2%80%99s+Bao+Khanh/data=!4m7!3m6!1s0x3135ab95850c0c9b:0x8f6aaef1b985c9b5!8m2!3d21.031054!4d105.8501487!16s%2Fg%2F11bw46_k6g!19sChIJmwwMhZWrNTERtcmFufGuao8?authuser=0&rclk=1","restaurant in ha dong, ha noi, vietnam","21.031054","105.8501487"
"ChIJrSnreyyrNTERerYhe3EwyaA","MET Vietnamese Restaurant & Vegetarian Met 2","Met Vietnamese Restaurant & Vegetarian Met 2 is one of the famous Vietnamese restaurants in the heart of Hanoi Old Quarter. MET restaurant has fresh ingredients, delicious dishes, diverse and delicious menu. We offer traditional Vietnamese dishes and a cozy atmosphere. Whether you are Vietnamese or a foreign guest, MET Restaurant will be a great choice for you to discover Vietnamese cuisine. Address: 42 Luong Van Can, Hang Gai, Hoan Kiem, Ha Noi Address: 34 Gia Ngu, Hang Bac, Hoan Kiem, Ha Noi","","25188","4.9","Name: Hoang's Restaurant - Vietnamese Restaurant & Vegan Food Link: No Link Reviews: 28835 reviews Name: MET Vietnamese restaurant & Vegetarian Food 1 Link: No Link Reviews: 27736 reviews Name: MET Vietnamese restaurant & Vegetarian Met 4 Link: No Link Reviews: 18576 reviews Name: Tung's Kitchen Link: No Link Reviews: 16319 reviews Name: VIET Restaurant Hanoi & Rooftop Bar Link: No Link Reviews: 2760 reviews","https://www.facebook.com/metvietnameserestaurant2?mibextid=LQQJ4d","+84 392 257 292","","MET Vietnamese Restaurant & Vegetarian Met 2 (Owner)","https://www.google.com/maps/contrib/101231759608925881259","https://lh3.googleusercontent.com/gps-cs-s/AHVAweorFTaeLarKqQ9n4VG3nBUC1pXP1SfbDqplSWeumtBzp11XdU03tiLVcZtw-s1prZQa0263qunC4a_TfJwNeq5u-FMe3vmaSAP5r3Fk2IGvK0Rs921EHIxesiLHK0sEjVZu5M6A-xC4hnM=w1920-h1080-k-no","Vietnamese restaurant","Vietnamese restaurant, Restaurant, Vegetarian restaurant","10 AM-10:30 PM","","Open All Days","42 P. Luong Van Can, Hang Gai, Hoan Kiem, Ha Noi 11015, Vietnam","jennie, balcony, ruby, don was, banana flower salad, grilled fish, digital audio tape, ngoc anh, banana wine, mr bean","https://www.google.com/maps/place/M%E1%BA%B8T+Vietnamese+Restaurant+%26+Vegetarian+Met+2/data=!4m7!3m6!1s0x3135ab2c7beb29ad:0xa0c930717b21b67a!8m2!3d21.0327784!4d105.850361!16s%2Fg%2F11szbz_z8y!19sChIJrSnreyyrNTERerYhe3EwyaA?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.0327784","105.850361"
"ChIJB1EGIX-rNTER9GVryLt_d3c","MET Vietnamese restaurant & Vegetarian Food 3","Welcome to Met Vietnamese restaurant ( Authentic Vietnamese Cuisine) Dear valuable customers . Vietnam has a very distinct and sophisticated food culture. Every area has its own distinctive qualities. We are without a doubt the perfect place for you to visit if you want to sample and learn about Vietnamese cuisine. For you to have the best options, our menu offers authentic Vietnamese cuisine that harmoniously blend flavors from the north, center, and south as well as a vegan menu."" #bestvietnamesefood #vegetarianfood#bestbanhxeoinhanoi met restaurant"" #bestvietnamesefood #vegetarianfood#bestbanhxeoinhanoi met restaurant""","","24385","4.9","Name: MET Vietnamese Restaurant & Vegetarian Met 2 Link: No Link Reviews: 25138 reviews Name: MET Vietnamese restaurant & Vegetarian Met 4 Link: No Link Reviews: 18576 reviews Name: Tung's Kitchen Link: No Link Reviews: 16319 reviews Name: Madam Tran Restaurant - Vietnamese Restaurant & Vegan Foods Link: No Link Reviews: 2793 reviews Name: VIET Restaurant Hanoi & Rooftop Bar Link: No Link Reviews: 2760 reviews","http://metvietnameserestaurant.com/","+84 971 562 582","","MET Vietnamese restaurant & Vegetarian Food 3 (Owner)","https://www.google.com/maps/contrib/104459193617012989482","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepf57JL87Q975wBAb4qXKnqzQsmYeYrwz-P3Ph7_jVT4jANerEg4DmtrcjrkA1xWcUoHpkx_GON_OhZGyn0NjqFLWcOchGWeLNO0fdP-mpepTX1vUcxSZHb58YNndmBqQQjscvNOw=w1920-h1080-k-no","Vietnamese restaurant","Vietnamese restaurant, Health food restaurant, Restaurant, Vegan restaurant, Vegetarian restaurant","10 AM-10:30 PM","","Open All Days","110 P. Hang Bac, Hang Buom, Hoan Kiem, Ha Noi, Vietnam","leo, hana, jade, bunny, teaching, banana wine, bamboo chicken, lily, vulnerable species, mead","https://www.google.com/maps/place/M%E1%BA%B8T+Vietnamese+restaurant+%26+Vegetarian+Food+3/data=!4m7!3m6!1s0x3135ab7f21065107:0x77777fbbc86b65f4!8m2!3d21.0341351!4d105.8512893!16s%2Fg%2F11ts3_jvc3!19sChIJB1EGIX-rNTER9GVryLt_d3c?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.0341351","105.8512893"
"ChIJ4ZQ4-HKrNTER1KlRPXTcN0c","Pizza 4P's Trang Tien","Nha hang Pizza 4P's, an Earth-to-People pizzeria with a vision to """"Make the World Smile for Peace, one pizza at a time"", was founded in 2011. 4P's - short for ""For Peace""- offers Italian-Japanese fusion cuisine & is known for Neapolitan-style artisan pizzas, signature crab pasta, organic ingredients & house-made cheeses like Burrata, Mozzarella, etc. Pizza 4P's Trang Tien is a must-visit restaurant for families & friends, offering a cozy ambiance for celebrating a birthday, anniversary, or romantic date. Located in central Hanoi, steps from top attractions like Hoan Kiem Lake, Opera House, Old Quarter, Trang Tien Ice Cream & Walking Street. Book a table now for a great dining experience, where authentic taste & tradition come together","","22304","4.9","Name: Pizza Lovers Link: No Link Reviews: 2547 reviews Name: Pizza Belga Hang Be Link: No Link Reviews: 1803 reviews Name: Pizza Pomodoro(fireWood) Link: No Link Reviews: 260 reviews","https://pizza4ps.com/","+84 1900 6043","","Pizza 4P's Trang Tien (Owner)","https://www.google.com/maps/contrib/101779364629342096570","https://lh3.googleusercontent.com/gps-cs-s/AHVAweq8sde1elVCij6CDmRae9Y68qQ6XQTE116WToH6_LHleSfY10JZZqqq9RN7dVrxDqIlERu1Ceq0f96GAHNf_DvKrHURnQVpGINtrubU1xm1HOY8nTMlREAMdwqF8eoJFQ7rD6TGAabK0LPB=w1920-h1080-k-no","Pizza restaurant","Pizza restaurant, Family restaurant, Fine dining restaurant, Fusion restaurant, Japanese restaurant, Organic restaurant, Pizza Takeout","10:30 AM-11 PM","","Open All Days","43 Trang Tien, Cua Nam, Ha Noi, Vietnam","half and half, crab pasta, van, variance, miso salmon, burrata salad, cheese board, burrata parma ham, squid ink risotto, chocolate fondant","https://www.google.com/maps/place/Pizza+4P%E2%80%99s+Tr%C3%A0ng+Ti%E1%BB%81n/data=!4m7!3m6!1s0x3135ab72f83894e1:0x4737dc743d51a9d4!8m2!3d21.0249846!4d105.8542127!16s%2Fg%2F11s8x0d9vq!19sChIJ4ZQ4-HKrNTER1KlRPXTcN0c?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.0249846","105.8542127"
"ChIJo30SQy-rNTER4esp9YxAGpc","MET Vietnamese restaurant & Vegetarian Food 5","Welcome to Met Vietnamese restaurant ( Authentic Vietnamese Cuisine) Met 5 is situated right on the central road of Hang Gai - a street known for its stunning views of Ho Guom (Sword Lake) and just 300 meters away from the pedestrian street, surrounded by reputable souvenir shops and pottery stores in Hanoi. Met N0.5 is fully prepared to cater to groups of up to 100 guests from various tour groups, with easy access for large-sized tourist buses. Met Restaurant takes pride in being the first destination for foreign tourists to experience authentic Vietnamese cuisine. Its ambiance is a delightful blend of modernity and Hanoi's nostalgic charm, creating a warm and familiar space to enjoy Vietnamese delicacies.","","21248","4.9","Name: MET Vietnamese Restaurant & Vegetarian Met 2 Link: No Link Reviews: 25138 reviews Name: MET Vietnamese restaurant & Vegetarian Met 4 Link: No Link Reviews: 18576 reviews Name: Tung's Kitchen Link: No Link Reviews: 16319 reviews Name: Madam Tran Restaurant - Vietnamese Restaurant & Vegan Foods Link: No Link Reviews: 2793 reviews Name: VIET Restaurant Hanoi & Rooftop Bar Link: No Link Reviews: 2760 reviews","https://metvietnameserestaurant.com/","+84 985 627 976","","MET Vietnamese restaurant & Vegetarian Food 5 (Owner)","https://www.google.com/maps/contrib/111141810818242683350","https://lh3.googleusercontent.com/gps-cs-s/AHVAwerMcPscROG5lxYbxuX8aLxBHe6HAFlkGnRhycehNCZN4qGVaGUoLLFaS9F1FzHGQVMGeB4yAPOJVYFIiZUn_AtREe7lcjOhqOSDSSmHYotBYGd6TFOt5z_vyoTml1KNRe2CZcRs=w1920-h1080-k-no","Vietnamese restaurant","Vietnamese restaurant, Health food restaurant, Restaurant, Vegan restaurant, Vegetarian restaurant","10 AM-10:30 PM","","Open All Days","110 P. Hang Gai, Hang Gai, Hoan Kiem, Ha Noi 100000, Vietnam","balcony, leo, teaching, banana flower salad, vulnerable species, banana wine, grilled fish, mead, bamboo chicken, passion fruit mousse","https://www.google.com/maps/place/M%E1%BA%B8T+Vietnamese+restaurant+%26+Vegetarian+Food+5/data=!4m7!3m6!1s0x3135ab2f43127da3:0x971a408cf529ebe1!8m2!3d21.0314416!4d105.8491895!16s%2Fg%2F11svfkj_nk!19sChIJo30SQy-rNTER4esp9YxAGpc?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.0314416","105.8491895"
"ChIJXROtYr6rNTERRKeVXUeNGUY","Hong Hoai's Restaurant","Hong hoai's Vietnamese Restaurant & Vegan Food is located in heart of oldquater in walking street and night market. So it's easier for customers after eating luch or dinner to walk around walking street or visit night market . We serve 100% Vietnamese Cuisine & Vegan Food. We are not stop there we will bring Vietnamse food around the world. We also organise cooking class everyday. #cookingclass #vietnamesecuisine #bestplacetoeat #bestVietnameserestaurantinhanoi #Vegetarianfood #veganfood","","21220","4.9","Name: Hoang's Restaurant - Vietnamese Restaurant & Vegan Food Link: No Link Reviews: 28835 reviews Name: Tung's Kitchen Link: No Link Reviews: 16319 reviews Name: Huong Viet Link: No Link Reviews: 3146 reviews Name: Vi Ha Noi Restaurant & Cafe Link: No Link Reviews: 1984 reviews Name: Hanoi Garden Restaurant Link: No Link Reviews: 1562 reviews","https://honghoaisrestaurant.com/","+84 915 033 556","","Hong Hoai's Restaurant (Owner)","https://www.google.com/maps/contrib/114939393778299445631","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepYKOgG1pigo8ByhmajHzEU1ouAoio_xDaxkP7CtQZWD5SfKoyEBRX9sBSrZeAEqp3PxL6ZLTbW_XrwkEGd6D_Hl5SdfxnBefyHS5aVEGAmZBmijbjNVMdEvT21w7TkhbQniK-xmsP-tyw=w1920-h1080-k-no","Vietnamese restaurant","Vietnamese restaurant, Cooking class, Vegan restaurant, Vegetarian restaurant","10 AM-11 PM","","Open All Days","20 P. Bat Dan, Hang Bo, Hoan Kiem, Ha Noi 100000, Vietnam","rabbit, tee, egg coffee, fried pork, balcony, teaching, proofs, pun, duck pancakes, tofu pancake","https://www.google.com/maps/place/Hong+Hoai's+Restaurant/data=!4m7!3m6!1s0x3135abbe62ad135d:0x46198d475d95a744!8m2!3d21.0338439!4d105.8474725!16s%2Fg%2F11f0wmtczv!19sChIJXROtYr6rNTERRKeVXUeNGUY?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.0338439","105.8474725"
"ChIJ-1QLwSirNTERpOu0HJtJ40A","MET Vietnamese restaurant & Vegetarian Met 4","MET Vietnamese restaurant & Vegetarian Met 4 is an ideal destination to explore the traditional and diverse flavor system of Vietnamese cuisine. Vietnamese cuisine is known for its fresh ingredients, vibrant flavors, and healthy options, making it an excellent choice for those looking for a diverse and delicious menu. We offer authentic Vietnamese dishes that harmoniously combine flavors from the north, central and south as well as vegan menus. If you want to explore Vietnamese cuisine and experience a special traditional atmosphere, MET Vietnamese restaurant & Vegetarian is a great choice. Location : 13 P.Hang Be, Hang Bac, Hoan Kiem, Ha Noi Location: 42 P.Luong Van Can, Hang Gai, Hoan Kiem, Hiem, Ha Noi","","18603","4.9","Name: Hoang's Restaurant - Vietnamese Restaurant & Vegan Food Link: No Link Reviews: 28835 reviews Name: MET Vietnamese restaurant & Vegetarian Food 1 Link: No Link Reviews: 27736 reviews Name: MET Vietnamese Restaurant & Vegetarian Met 2 Link: No Link Reviews: 25138 reviews Name: Tung's Kitchen Link: No Link Reviews: 16319 reviews Name: VIET Restaurant Hanoi & Rooftop Bar Link: No Link Reviews: 2760 reviews","https://www.facebook.com/share/1F4mnaU49j/?mibextid=wwXIfr","+84 965 191 311","","MET Vietnamese restaurant & Vegetarian Met 4 (Owner)","https://www.google.com/maps/contrib/109410654546430175902","https://lh3.googleusercontent.com/gps-cs-s/AHVAwepR_8pTKFmfNTiZPIZvY1w7PBfNs5D_l1H2nyE9Obld_6U20Dcow19XjN8T_bc_-4kooxjbuDdveR_6wzdWEUmFxn4t6UJW0PkbvPui31Z79hczeCBSJm-DkOv9vbVbk0P6s4NAdWhzwyM9=w1920-h1080-k-no","Vietnamese restaurant","Vietnamese restaurant, Restaurant, Vegetarian restaurant","10 AM-10:30 PM","","Open All Days","34 P. Gia Ngu, Hang Bac, Hoan Kiem, Ha Noi, Vietnam","tuna, hoa, jennie, emmy, ruby, banana flower salad, morning glory, pumpkin soup, tofu stew, duck with pineapple","https://www.google.com/maps/place/M%E1%BA%B8T+Vietnamese+restaurant+%26+Vegetarian+Met+4/data=!4m7!3m6!1s0x3135ab28c10b54fb:0x40e3499b1cb4eba4!8m2!3d21.0330894!4d105.8523135!16s%2Fg%2F11kpdccqfk!19sChIJ-1QLwSirNTERpOu0HJtJ40A?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.0330894","105.8523135"
"ChIJD3MFdACrNTERIW2EVi1CYEo","Khu Van hoa am thuc Sen Tay Ho","Popular restaurant offering all-you-can-eat Asian & Western dishes in sprawling surrounds.","","18466","4.2","Name: San khau Sen Hong Link: No Link Reviews: 2 reviews Name: Bai Hoi Link: No Link Reviews: 2 reviews Name: Pho Xao Link: No Link Reviews: No Reviews reviews","https://nhahangsen.vn/","+84 1900 6607","","Khu Van hoa am thuc Sen Tay Ho (Owner)","https://www.google.com/maps/contrib/115854683034462757141","https://lh3.googleusercontent.com/gps-cs-s/AHVAwephRkLmDcLXmHpVvG9La5RR2-aKamlYBkf7Dwqi3gTIAun3a5YD90vOJDKgB_2KgOI1x11kmBZkVa-Q4O0msATdiVqkt4DRmV_zDVx4kx_BzmWWivVg3lrXo4vlTUtyrpYy27y1zpGA29Ze=w1920-h1080-k-no","Buffet restaurant","Buffet restaurant, Restaurant","11 AM-2 PM, 6-9 PM","","Open All Days","614 D. Lac Long Quan, Nhat Tan, Tay Ho, Ha Noi 10000, Vietnam","coconut, vietnamese food, tourists, photos, silver, rice noodles, traditional dishes, lotus, yard, tinder","https://www.google.com/maps/place/Buffet+Sen+H%E1%BB%93+T%C3%A2y/data=!4m7!3m6!1s0x3135ab00348a98b1:0x6dfc8207343f9641!8m2!3d21.0728014!4d105.8151033!16s%2Fg%2F11ynvjr6bl!19sChIJsZiKNACrNTERQZY_NAeC_G0?authuser=0&rclk=1","restaurant in son tay, ha noi, vietnam","21.0745762","105.8156661"
